gross_FU,gross_SC,net_FU,net_SC,time_first_sc_to_first_net_fu,electricitybill,heatingbill,grosscontractsigned,selfipa_done,zipregion_missing,evaluationtime_missing,desiredinstallationend_missing,electricitybill_missing,heatingbill_missing,aggregated_missing,desiredinstallationend_encoded,mktg_High,mktg_Low,mktg_Medium,region_High_Performer,region_Large_Solid,region_Lower,region_Medium,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
0,1,0.0,1.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,1,1,1,1,0,4,False,True,False,False,False,False,True,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
8,1,2.0,1.0,1.0372062367096597,0.04338517298158291,-0.0069091364353513944,0.0,0,0,0,0,0,0,0,0,True,False,False,False,True,False,False,4,4,38.0,110.0,0.036036036036036,3,0,0,0.75,0.0,0.0,0.5,0,0,0.6257207207207206,0.2,7,5
0,1,0.0,1.0,-0.37067579132576894,-0.08502899156088654,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,False,True,False,True,False,False,5,5,0.0,343.0,0.0145348837209302,4,1,0,0.8,0.2,0.0,0.6,1,0,0.6369573643410853,0.1666666666666666,2,8
0,1,0.0,1.0,-0.37067579132576894,0.11136914244524321,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,7,7,1.0,1.0,3.5,5,1,0,0.7142857142857143,0.1428571428571428,0.0,0.2857142857142857,-3,0,0.5628571428571427,0.125,0,5
2,1,2.0,1.0,-0.37067579132576894,0.04338517298158291,-0.008900907610077119,0.0,0,0,1,0,0,1,0,1,False,False,True,False,False,True,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,1.0,-0.37067579132576894,0.11136914244524321,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,1,1,136.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0.52,0.5,1,3
5,1,1.0,1.0,1.4287577761289838,0.34100388374471796,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,True,False,True,False,False,False,6,6,0.0,0.0,6.0,5,1,0,0.8333333333333334,0.1666666666666666,0.0,0.1666666666666666,-3,0,0.6,0.1428571428571428,0,5
0,1,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,1,1,1,1,1,0,4,False,False,True,False,False,True,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,2,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,2,False,True,False,False,True,False,False,1,1,179.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0.52,0.5,5,7
0,1,0.0,0.0,-0.37067579132576894,-0.12279786348514227,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,False,True,False,True,False,False,1,1,11.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,1,0.0,1.0,-0.37067579132576894,0.9800531967031249,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
2,1,1.0,1.0,0.7863868539070057,-0.08653974643785677,-0.008900907610077119,0.0,0,0,0,0,0,1,0,2,False,True,False,False,True,False,False,3,3,0.0,236.0,0.0126582278481012,3,1,0,1.0,0.3333333333333333,0.0,0.6666666666666667,0,0,0.6669198312236286,0.25,2,9
0,1,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.010892678784802842,0.0,0,0,0,0,0,0,0,0,False,True,False,False,False,True,False,1,1,3.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
4,2,4.0,1.0,-0.0006222269844070203,-0.10315805008452929,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,1.0,-0.37067579132576894,-0.0019374733275239558,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,True,False,False,False,False,True,1,1,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0.52,0.5,5,7
2,1,2.0,1.0,-0.21744569779497117,-0.0774752171760354,-0.0069091364353513944,0.0,0,0,0,0,1,0,0,1,False,True,False,False,True,False,False,4,4,0.0,0.0,4.0,2,0,0,0.5,0.0,0.0,0.75,0,0,0.6799999999999999,0.2,7,5
1,1,1.0,1.0,-0.11953264656982109,-0.0774752171760354,-0.008900907610077119,0.0,1,0,0,0,1,1,0,1,False,True,False,False,True,False,False,3,3,185.0,90.0,0.0329670329670329,3,0,0,1.0,0.0,0.0,0.3333333333333333,0,0,0.6673260073260073,0.25,3,9
9,1,3.0,1.0,0.02083221707462485,-0.0774752171760354,-0.009232869472531406,0.0,0,0,0,0,1,0,0,1,False,True,False,False,True,False,False,6,6,1.0,0.0,6.0,5,1,0,0.8333333333333334,0.1666666666666666,0.0,0.1666666666666666,-3,0,0.6,0.1428571428571428,0,5
6,1,3.0,1.0,0.25623255021368413,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,1,False,False,True,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,0.0,-0.37067579132576894,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,7,7,3.0,255.0,0.02734375,7,1,0,1.0,0.1428571428571428,0.0,0.2857142857142857,0,0,0.6291183035714285,0.125,2,5
0,1,0.0,0.0,-0.37067579132576894,0.22467575821801036,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,True,False,2,2,1.0,0.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,0.7400000000000001,0.3333333333333333,7,5
1,1,1.0,0.0,0.7253799446686799,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,False,False,True,False,True,False,False,1,1,103.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,3,0.0,0.0,-0.37067579132576894,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,False,True,False,False,False,True,False,3,3,0.0,0.0,3.0,3,0,0,1.0,0.0,0.0,0.3333333333333333,0,0,0.7266666666666667,0.25,7,5
0,2,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,2,True,False,False,False,False,False,True,3,3,3.0,0.0,3.0,3,0,0,1.0,0.0,0.0,0.3333333333333333,0,0,0.7266666666666667,0.25,7,5
8,1,4.0,1.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,1,False,False,True,False,False,True,False,1,1,1.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,1,0.0,1.0,-0.37067579132576894,0.3757512459150332,-0.008900907610077119,1.0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,True,8,8,116.0,212.0,0.0375586854460093,2,1,0,0.25,0.125,0.0,1.0,-3,7,0.5007511737089202,0.1111111111111111,1,4
4,1,4.0,1.0,-0.2598857205633067,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,3,False,True,False,False,True,False,False,2,2,0.0,0.0,2.0,2,0,0,1.0,0.0,0.0,0.5,0,0,0.7400000000000001,0.3333333333333333,7,5
0,2,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,False,True,False,True,False,False,1,1,256.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
7,2,5.0,1.0,0.9640378490576882,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,False,False,True,False,False,False,True,2,2,2.0,0.0,2.0,1,0,0,0.5,0.0,0.0,1.0,1,0,0.7066666666666668,0.3333333333333333,7,8
0,1,0.0,0.0,-0.37067579132576894,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,2,False,True,False,False,False,True,False,6,6,1.0,208.0,0.0287081339712918,6,1,0,1.0,0.1666666666666666,0.0,0.3333333333333333,0,0,0.6339074960127592,0.1428571428571428,2,9
0,2,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,1,False,True,False,False,False,False,True,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
1,1,1.0,1.0,-0.3496938402013761,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,0,0,1,False,True,False,False,True,False,False,2,2,215.0,0.0,2.0,2,1,0,1.0,0.5,0.0,0.5,0,0,0.64,0.3333333333333333,2,5
0,2,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,2,False,True,False,False,False,False,True,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,0.0,-0.37067579132576894,-0.09258276594573768,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,False,True,False,False,True,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
2,3,2.0,1.0,10.509039025087832,-0.12279786348514227,-0.008900907610077119,0.0,0,0,0,0,0,0,0,1,False,True,False,False,False,False,True,1,1,3.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
6,1,6.0,1.0,-0.21549405711293043,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,0,1,0,2,False,True,False,False,True,False,False,6,6,0.0,107.0,0.0555555555555555,5,1,0,0.8333333333333334,0.1666666666666666,0.0,0.3333333333333333,0,0,0.5844444444444444,0.1428571428571428,2,5
0,2,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,2,True,False,False,False,False,False,True,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
2,1,2.0,1.0,-0.26769228329146944,0.22467575821801036,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,False,False,True,3,3,96.0,20.0,0.1428571428571428,3,1,0,1.0,0.3333333333333333,0.0,0.3333333333333333,0,0,0.6028571428571429,0.25,2,5
0,1,0.0,0.0,-0.37067579132576894,0.04338517298158291,-0.008900907610077119,0.0,0,0,0,0,0,1,0,3,True,False,False,False,True,False,False,1,1,4.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,2,0.0,0.0,-0.37067579132576894,-0.0019374733275239558,-0.008900907610077119,0.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,3,3,0.0,305.0,0.0098039215686274,3,0,0,1.0,0.0,0.0,0.3333333333333333,0,0,0.6668627450980392,0.25,3,9
3,2,0.0,1.0,-0.37067579132576894,-0.0774752171760354,-0.00989679319743998,0.0,0,0,0,0,1,0,0,2,False,True,False,False,False,False,True,4,4,16.0,63.0,0.0625,3,1,0,0.75,0.25,0.0,0.5,0,0,0.5762499999999999,0.2,2,5
0,1,0.0,0.0,-0.37067579132576894,-0.0774752171760354,-0.008900907610077119,0.0,0,0,0,0,1,1,0,1,True,False,False,False,False,False,True,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
5,1,2.0,1.0,0.5537616232247515,-0.03970634525177968,-0.008900907610077119,0.0,0,0,0,0,0,1,0,1,False,True,False,False,False,True,False,1,1,2.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
6,1,1.0,1.0,3.629570917422798,-0.04726011963663082,-0.008900907610077119,0.0,1,0,0,0,0,1,0,3,False,True,False,False,True,False,False,6,6,4.0,287.0,0.0208333333333333,5,0,0,0.8333333333333334,0.0,0.0,0.1666666666666666,3,0,0.63375,0.1428571428571428,3,7
