gross_FU,gross_SC,net_FU,net_SC,time_first_sc_to_first_net_fu,electricitybill,heatingbill,netcontractsigned,selfipa_done,zipregion_missing,evaluationtime_missing,desiredinstallationend_missing,electricitybill_missing,heatingbill_missing,mktgparamscore_missing,desiredinstallationend_encoded,mktg_High,mktg_Low,mktg_Medium,region_High_Performer,region_Large_Good,region_Medium,region_Other,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
9,2,7.0,1.0,-0.12061536609215237,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,True,False,False,False,False,True,2.0,2.0,-235.0,235.0,0.0084745762711864,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7001694915254238,0.3333333333333333,9.0,5.0
9,2,7.0,1.0,-0.12061536609215237,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,True,False,False,False,False,True,2.0,2.0,-235.0,235.0,0.0084745762711864,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7001694915254238,0.3333333333333333,9.0,5.0
1,1,1.0,1.0,-0.30277653208499217,-0.07952723280122995,-0.009672469096544817,0.0,0,0,0,0,1,1,0,1,False,True,False,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,1.0,1.0,-0.03949910400265336,-0.13791113050817722,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,1.0,1.0,-0.04271936135535359,-0.15250710493491404,-0.009672469096544817,0.0,0,0,0,0,0,1,0,2,False,False,True,False,False,True,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,1.0,1.0,-0.04271936135535359,-0.07952723280122995,-0.010556559124380301,0.0,0,0,0,0,1,0,0,2,False,False,True,False,False,True,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
4,1,2.0,1.0,4.888271949127677,-0.09777220083465098,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,4.0,4.0,-207.0,206.0,0.0193236714975845,3.0,0.0,0.0,0.75,0.0,0.0,0.5,0.0,0.0,0.6253864734299516,0.2,9.0,5.0
5,1,2.0,1.0,0.8158742462288856,-0.006547360667545856,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,True,False,False,False,False,True,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
2,1,1.0,1.0,0.32855137216523667,0.011697607365875167,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82,0.5,9.0,9.0
1,1,0.0,1.0,-0.38125232877590903,-0.13426213690149302,-0.009672469096544817,0.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,2.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.7400000000000001,0.3333333333333333,9.0,5.0
