gross_fu,gross_sc,net_fu,net_sc,time_first_sc_to_first_net_fu,electricitybill,heatingbill,grosscontractsigned,selfipa_done,zipregion_missing,evaluationtime_missing,desiredinstallationend_missing,electricitybill_missing,heatingbill_missing,aggregated_missing,desiredinstallationend_encoded,mktg_high,mktg_low,mktg_medium,region_high_performer,region_large_solid,region_lower,region_medium,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
0,1,0.0,1.0,-0.3633238638120175,-0.0819644410868578,-0.0085558281252147,1.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,4,4,0.0,246.0,0.0161943319838056,3,0,0,0.75,0.0,0.0,0.5,0,0,0.625323886639676,0.2,3,9
0,1,0.0,1.0,-0.3633238638120175,0.0135015097431399,-0.0085558281252147,1.0,0,0,0,0,0,1,0,0,False,True,False,True,False,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
1,2,1.0,1.0,-0.3600257650276413,-0.135856510103792,-0.0085558281252147,1.0,0,0,0,0,0,1,0,0,True,False,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
1,2,1.0,1.0,-0.3600257650276413,-0.1343167367033081,-0.0085558281252147,1.0,0,0,0,0,0,1,0,1,False,False,True,False,True,False,False,2,2,0.0,0.0,2.0,2,0,0,1.0,0.0,0.0,0.0,0,0,0.64,0.3333333333333333,3,5
0,2,0.0,1.0,-0.3633238638120175,0.0258196969470105,-0.0085558281252147,1.0,0,0,0,0,0,1,0,0,False,True,False,False,True,False,False,1,1,1.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,1,0.0,1.0,-0.3633238638120175,-0.1235383228999213,-0.0085558281252147,1.0,0,0,0,0,0,1,0,1,False,True,False,False,True,False,False,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.3,0.0,4,6
0,1,0.0,1.0,-0.3633238638120175,0.5200869585023213,-0.0085558281252147,1.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,5,5,1.0,456.0,0.0109409190371991,5,0,0,1.0,0.0,0.0,0.1999999999999999,0,0,0.640218818380744,0.1666666666666666,3,5
10,1,9.0,1.0,-0.3600138552264755,-0.0773451208854063,-0.0085558281252147,1.0,0,0,0,0,1,1,0,2,False,True,False,False,True,False,False,1,1,231.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
7,5,5.0,2.0,-0.3600166036421291,-0.0773451208854063,-0.0085558281252147,1.0,0,0,0,0,1,1,0,0,False,False,True,True,False,False,False,1,1,263.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
0,1,0.0,1.0,-0.3633238638120175,-0.0927428548902446,-0.0085558281252147,1.0,0,0,0,0,0,1,0,3,False,True,False,False,True,False,False,1,1,0.0,0.0,1.0,1,0,0,1.0,0.0,0.0,1.0,0,0,0.82,0.5,7,9
