ID,converted,total_bc_attempts,total_bc_outcomes,lead_to_first_bc_days,bc_duration_days,lead_to_sc1_days,sc1_schedule_to_appointment_days,bc_frequency,positive_outcomes_count,negative_outcomes_count,noshow_outcomes_count,positive_outcome_ratio,negative_outcome_ratio,noshow_outcome_ratio,reachability_score,outcome_trend,persistence_after_negative,showed_up_sc1,engagement_score,efficiency_score,last_bc_outcome_encoded,first_bc_outcome_encoded
140459,0,6,6,0.0,2.0,0.0,0.0,2.0,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666663,-3,0,0,0.54,0.14285714285714285,1,5
106089,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
112764,0,6,6,0.0,6.0,0.0,0.0,0.8571428571428571,5,1,0,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666663,-3,0,0,0.5171428571428571,0.14285714285714285,1,5
140460,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
140461,0,3,3,0.0,0.0,0.0,0.0,3.0,3,1,0,1.0,0.3333333333333333,0.0,0.33333333333333337,0,0,0,0.66,0.25,4,5
140462,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
106031,0,7,7,0.0,4.0,0.0,0.0,1.4,4,0,0,0.5714285714285714,0.0,0.0,0.4285714285714286,-3,0,0,0.5351428571428571,0.125,7,5
112767,0,1,1,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0,0,0,0.52,0.5,3,3
112768,0,6,6,0.0,4.0,0.0,0.0,1.2,6,1,0,1.0,0.16666666666666666,0.0,0.16666666666666663,0,0,0,0.624,0.14285714285714285,4,5
112769,0,1,1,0.0,0.0,0.0,0.0,1.0,1,1,0,1.0,1.0,0.0,1.0,0,0,0,0.62,0.5,4,4
111834,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.30000000000000004,0.0,6,6
106096,0,8,8,0.0,4.0,0.0,0.0,1.6,7,1,0,0.875,0.125,0.0,0.125,-3,0,0,0.5445,0.1111111111111111,1,5
